Sr. No. ,Module /Screen Name,Sub- Module,Issue In detail ,Efforts needed in (hours),  Priority,  Issue Type ,  Environment,  Dev Status,QA Status,Date,  Assignee, Attachments,Testing Data,QA Comments,Dev Comments,Dev Server API Endpoints
,,,"Term ""Profile"" is used inconsistently and should be replaced with ""My Profile"" for uniformity.
Term ""Edit Company"" is incorrectly displayed and should be updated to ""Edit My Profile"".",Lowest,Bug,Development,,,,,,,,,,
,,,Left menu icons are not unique; multiple modules share the same icon.,Low,Bug,Development,,,,,,,,,,
,,,"Website URL format is not validated correctly (e.g., missing validation for ""http://"").",Low,Suggestion,Development,,,,,,,,,,
,,,"Email fields to ensure they accept the standard email formats (e.g., example@domain.com).",Low,Bug,Development,,,,,,,,,,
,,,Contact Number field should rejects alphabetic characters and special symbols.,Lowest,Suggestion,Development,,,,,,,,,,
,,,Leading spaces are not trimmed from all mandatory fields,Lowest,Suggestion,Development,,,,,,,,,,
,,,"Form's behavior when there is a network error during submission.Error message will be shown "" You appear to be offline. Check your internet connectivity and try again"".",Lowest,Suggestion,Development,,,,,,,,,,
,,,No allowed to upload the image of 50 MB  because  its incase the memory often data base.,Low,Bug,Development,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Login,"Password field does not include an ""eye"" icon to toggle password visibility. Adding this feature would allow users to view the entered password if needed, improving user-friendliness and reducing input errors",Lowest,Suggestion,Development,,Open,,,,,,,,
,,Forgot Password,"Reset Password screen does not appear after clicking the ""Reset Password"" call-to-action (CTA) in the Forgot Password email.",Highest,Bug,Development,,,,,,,,,,
,,,Company logo is not visible in the Forgot Password email template.,Low,Suggestion,Development,,Open,,,,,,,,
,,,Mail Content and UI design in the Forgot Password email require improvements for better readability and visual appeal.,Lowest,Suggestion,Development,,Open,,,,,,,,
,,,Check the email headers for the actual sending domain and IP address. These details can reveal if the message is genuinely from the domain or from a suspicious source.,Low,Bug,Development,,Open,,,,,,,,
,,,"""Email ID"" and ""Email Address"" are used inconsistently across the product. Standardizing the terminology to a single term (""Email"" or ""Email Address"") is recommended to ensure consistency and maintain product quality.",Lowest,Suggestion,Development,,Open,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,CPT Codes,Internal Server Error occurs when a user attempts to save the form by entering only spaces in the CPT Code & Description input field.,Medium,Bug,Development,,Review,,,,,,,,
,,,Loader should not we shown when user enter in every word in the search input field.,Medium,Bug,Development,,Review,,,,,,,,
,,,Duplicate CPT code should not be allowed.,,,,,Review,,,,,,,,
,,,Remove two loader which is showing initially loading of screen & removing the any keyword from search.,,,,,Review,,,,,,,,
,,,Internal Server error is showing if user submit the form by fill the space in the mandetory required field.,,,,,Review,,,,,,,,
,,,,,,,,,,,,,,,,
,,Auth Type,Loader should not we shown when user enter in every word in the search input field.,Medium,Bug,Development,,Review,,,,,,,,
,,,Duplicate Auth Type should not be allowed.,Medium,Bug,Development,,Review,,,,,,,,
,,,Visit allowe value should not be gone in negative.,Medium,Bug,Development,,Review,,,,,,,,
,,,Remove two loader which is showing initially loading of screen & removing the any keyword from search.,,,,,Review,,,,,,,,
,,,Internal Server error is showing if user submit the form by fill the space in the mandetory required field.,,,,,Review,,,,,,,,
,,,,,,,,,,,,,,,,
,,Notes Type,Loader should not we shown when user enter in every word in the search input field.,Medium,Bug,Development,,Review,,,,,,,,
,,,Duplicate Notes Type should not be allowed.,Medium,Bug,Development,,Review,,,,,,,,
,,,Remove two loader which is showing initially loading of screen & removing the any keyword from search.,,,,,Review,,,,,,,,
,,,Internal Server error is showing if user submit the form by fill the space in the mandetory required field.,,,,,Review,,,,,,,,
,,,,,,,,,,,,,,,,
,, Usage instruction,Loader should not we shown when user enter in every word in the search input field.,Medium,Bug,Development,,Review,,,,,,,,
,,,Duplicate Usage instruction should not be allowed.,Medium,Discusison,Development,,Review,,,,,,,,
,,,Remove two loader which is showing initially loading of screen & removing the any keyword from search.,,,,,Review,,,,,,,,
,,,Internal Server error is showing if user submit the form by fill the space in the mandetory required field.,,,,,REVIEW,,,,,,,,
,,,,,,,,,,,,,,,,
,,Entry Type,Loader should not we shown when user enter in every word in the search input field.,Medium,Bug,Development,,Review,,,,,,,,
,,,Duplicate Entry Type should not be allowed.,Medium,Bug,Development,,Review,,,,,,,,
,,,Remove two loader which is showing initially loading of screen & removing the any keyword from search.,,,,,Review,,,,,,,,
,,,Internal Server error is showing if user submit the form by fill the space in the mandetory required field.,,,,,Review,,,,,,,,
,,,,,,,,,,,,,,,,
,,Limitation,Loader should not we shown when user enter in every word in the search input field.,Medium,Bug,Development,,Review,,,,,,Do it on fresh data,,
,,,Duplicate record should not be allowed.,Medium,Bug,Development,,Review,,,,,,,,
,,,Remove two loader which is showing initially loading of screen & removing the any keyword from search.,,,,,Review,,,,,,,,
,,,Internal Server error is showing if user submit the form by fill the space in the mandetory required field.,,,,,Review,,,,,,,,
,,,,,,,,,,,,,,,,
,,Billing Under ,Loader should not we shown when user enter in every word in the search input field.,Medium,Bug,Development,,Review,,,,,,,,
,,,Duplicate record should not be allowed.,Medium,Bug,Development,,Review,,,,,,,,
,,,Remove two loader which is showing initially loading of screen & removing the any keyword from search.,,,,,Review,,,,,,,,
,,,Internal Server error is showing if user submit the form by fill the space in the mandetory required field.,,,,,Review,,,,,,,,
,,,,,,,,,,,,,,,,
,,EOB Storage,Loader should not we shown when user enter in every word in the search input field.,Medium,Bug,Development,,Review,,,,,,,,
,,,Duplicate record should not be allowed.,Medium,Bug,Development,,Review,,,,,,,,
,,,Remove two loader which is showing initially loading of screen & removing the any keyword from search.,,,,,Review,,,,,,,,
,,,Internal Server error is showing if user submit the form by fill the space in the mandetory required field.,,,,,Review,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Authorization Notes,Loader should not we shown when user enter in every word in the search input field.,Medium,Bug,Development,,Review,,,,,,,,
,,,Duplicate record should not be allowed.,Medium,Bug,Development,,Review,,,,,,,,
,,,Remove two loader which is showing initially loading of screen & removing the any keyword from search.,,,,,Review,,,,,,,,
,,,Internal Server error is showing if user submit the form by fill the space in the mandetory required field.,,,,,Review,,,,,,,,
,,,Hide the View functionality.,,,,,Review,,,,,,,,
,,,Check the flickring in the pagination whne user go 1st page to 2nd page than if 11 rcord exits than when click on 2nd page first show20 record to user & than 11 total record is showing. (Common for all db masters),,,,,Review,,,,,,,,
,,,,,,,,,,,,,,,,
,,Precaution,Loader should not we shown when user enter in every word in the search input field.,Medium,Bug,Development,,Review,,,,,,,,
,,,Duplicate record should not be allowed.,Medium,Bug,Development,,Review,,,,,,,,
,,,Internal Server error is showing if user submit the form by fill the space in the mandetory required field.,Medium,Bug,Development,,Review,,,,,,,,
,,,Remove two loader which is showing initially loading of screen & removing the any keyword from search.,Medium,Bug,Development,,Review,,,,,,,,
,,,"Both PCP type dropdown Value ""Fax"" & ""Print"" should be shown first character in CAPS.",Medium,Bug,Development,,Review,,,,,,,,
,,,"Age & Fax number should not accept in negative value,",Medium,Bug,Development,,Review,,,,,,,,
,,Private Fee,Loader should not we shown when user enter in every word in the search input field.,Medium,Bug,Development,,Review,,,,,,,,
,,,Duplicate record should not be allowed.,Medium,Bug,Development,,Review,,,,,,,,
,,,Internal Server error is showing if user submit the form by fill the space in the mandetory required field.,Medium,Bug,Development,,Review,,,,,,,,
,,,Remove two loader which is showing initially loading of screen & removing the any keyword from search.,Medium,Bug,Development,,Review,,,,,,,,
,,,Private Fee number should not accept in negative value.,Medium,Bug,Development,,Review,,,,,,,,
,,POC Visits,Loader should not we shown when user enter in every word in the search input field.,Medium,Bug,Development,,Review,,,,,,,,
,,,Duplicate record should not be allowed.,Medium,Bug,Development,,Review,,,,,,,,
,,,Internal Server error is showing if user submit the form by fill the space in the mandetory required field.,Medium,Bug,Development,,Review,,,,,,,,
,,,Remove two loader which is showing initially loading of screen & removing the any keyword from search.,Medium,Bug,Development,,Review,,,,,,,,
,,,Poc Visit number should not accept in negative value.,Medium,Bug,Development,,Review,,,,,,,,
,,Deductible Collect Scale,Loader should not we shown when user enter in every word in the search input field.,Medium,Bug,Development,,Review,,,,,,,,
,,,Duplicate record should not be allowed.,Medium,Discusison,Development,,Review,,,,,,,,
,,,Internal Server error is showing if user submit the form by fill the space in the mandetory required field.,Medium,Bug,Development,,Review,,,,,,,,
,,,Remove two loader which is showing initially loading of screen & removing the any keyword from search.,Medium,Bug,Development,,Review,,,,,,,,
,,,Amount should not accept in negative value.,Medium,Bug,Development,,Review,,,,,,,,
,,,Search field placeholder value is not showing completely.,,,,,Review,,,,,,,,
,,,Why duplicacy validation checking on description field.(Common in all master foms of db maintenance),,,,,Review,,,,,,,,
,,Discount Type,Loader should not we shown when user enter in every word in the search input field.,Medium,Bug,Development,,Review,,,,,,,,
,,,Duplicate record should not be allowed.,Medium,Bug,Development,,Review,,,,,,,,
,,,Internal Server error is showing if user submit the form by fill the space in the mandetory required field.,Medium,Bug,Development,,Review,,,,,,,,
,,,Remove two loader which is showing initially loading of screen & removing the any keyword from search.,Medium,Bug,Development,,Review,,,,,,,,
,,,Discount should not accept in negative value.,Medium,Bug,Development,,Review,,,,,,,,
,,,,,,,,,,,,,,,,
,,Finacial Hardship Types,Loader should not we shown when user enter in every word in the search input field.,Medium,Bug,Development,,Review,,,,,,,,
,,,Duplicate record should not be allowed.,Medium,Bug,Development,,Review,,,,,,,,
,,,Internal Server error is showing if user submit the form by fill the space in the mandetory required field.,Medium,Bug,Development,,Review,,,,,,,,
,,,Remove two loader which is showing initially loading of screen & removing the any keyword from search.,Medium,Bug,Development,,Review,,,,,,,,
,,,Discount should not accept in negative value.,Medium,Bug,Development,,Review,,,,,,,,
,,,No error is showing if user enter the character in place of number in the value field & try to submit the form.,Medium,Bug,Development,,Review,,,,,,,,
,,Membership Types,Loader should not we shown when user enter in every word in the search input field.,Medium,Bug,Development,,Review,,,,,,,,
,,,Duplicate record should not be allowed.,Medium,Bug,Development,,Review,,,,,,,,
,,,Internal Server error is showing if user submit the form by fill the space in the mandetory required field.,Medium,Bug,Development,,Review,,,,,,,,
,,,Remove two loader which is showing initially loading of screen & removing the any keyword from search.,Medium,Bug,Development,,Review,,,,,,,,
,,,Discount should not accept in negative value.,Medium,Bug,Development,,Review,,,,,,,,
,,,% Vale should not be accept more than 100%,Medium,Bug,Development,,Review,,,,,,,,
,,,"Correct the validation of both ""Monthly Premium"" & ""Visits Per Month"" field if user enter the character in both field insted of number.",,,,,Review,,,,,,,,
,,,,,,,,,,,,,,,,
,,Diagnosis (Dx),Loader should not we shown when user enter in every word in the search input field.,Medium,Bug,Development,,Review,,,,,,,,
,,,Duplicate record should not be allowed.,Medium,Bug,Development,,Review,,,,,,,,
,,,Internal Server error is showing if user submit the form by fill the space in the mandetory required field.,Medium,Bug,Development,,Review,,,,,,,,
,,,Remove two loader which is showing initially loading of screen & removing the any keyword from search.,Medium,Bug,Development,,Review,,,,,,,,
,,,"Correct the place holder of the ""Short Description"" field",,,,,,,,,,,,,
,,Diagnosis (Dx),Loader should not we shown when user enter in every word in the search input field.,Medium,Bug,Development,,Review,,,,,,,,
,,,Duplicate record should not be allowed.,Medium,Bug,Development,,Review,,,,,,,,
,,,Internal Server error is showing if user submit the form by fill the space in the mandetory required field.,Medium,Bug,Development,,Review,,,,,,,,
,,,Remove two loader which is showing initially loading of screen & removing the any keyword from search.,Medium,Bug,Development,,Review,,,,,,,,
,,,"Correct the place holder of the ""DX Group name"" field",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,"Message 
Center","Spelling is wrong of word ""feild"" in all the fields validation.",Medium,Bug,Development,,Review,,,,,,,,
,,,Date formate need to be corrected.,Medium,Bug,Development,,Open,,,,,,,,
,,,"After fill all the required field the message form is not able to submit,",Medium,Bug,Development,,Review,,,,,,,,
,,,Patient seach suggestion is not showing correctly .Also all the records is not showing correct after filter the results.,Medium,Bug,Development,,Review,,,,,,,,
,,,"Default ""Select""value should be shown  in both the Priority & Choose Colleague dropdown.",Medium,Bug,Development,,Review,,,,,,,,
,,,Manual date should not be allowd to enter by the end user.,Medium,Discusison,Development,,Open,,,,,,,,
,,,Data is repeates in the search based on the enter keyword.,Medium,Bug,Development,,Review,,,,,,,,
,,,Notes completed informated is not showing fetched correctly in the notes field.,Medium,Bug,Development,,Review,,,,,,,,
